Transaction_id,Date,Supplier_Name,Category,Quantity,Tax,Selling_Price,Cost_Price,Profit,Discount
2,06-03-2022,Pehnava,Dress Material,1,0,3100,1550,1550,550
3,06-03-2022,Pehnava,Dress Material,1,0,4100,1750,2350,400
3,06-03-2022,Pehnava,Dress Material,1,0,3200,1800,1400,650
3,16-03-2022,Pehnava,Dress Material,1,0,2350,1550,800,750
4,06-03-2022,Savita's Design,Dress Material,1,0,17500,17500,0,10000
5,06-03-2022,Pehnava,Dress Material,1,0,2000,1095,905,550
5,06-03-2022,Pehnava,Dress Material,1,0,2500,1395,1105,950
6,08-03-2022,Pehnava,Dress Material,1,0,4000,1995,2005,500
6,14-03-2022,Pehnava,Dress Material,2,0,6100,3700,2400,650
6,28-03-2022,Pehnava,Dress Material,2,0,8250,4700,3550,250
7,08-03-2022,Pehnava,Dress Material,2,0,7000,3790,3210,1150
8,22-01-2023,Lucknow Chicken Factory,Dress Material,2,100.24,21075,15000,5974.76,4500
8,11-04-2023,TATA,Top,4,111.44,25700,18000,7588.56,2300
9,08-03-2022,Pehnava,Dress Material,1,0,2600,1495,1105,1250
10,08-03-2022,Pehnava,Dress Material,1,0,2800,1495,1305,950
11,09-03-2022,Pehnava,Dress Material,1,0,2000,1850,150,2350
11,10-03-2022,Pehnava,Dress Material,2,0,4400,2990,1410,1250
12,09-03-2022,Vandana,Dress Material,1,0,5500,2495,3005,2000
12,09-03-2022,Pehnava,Dress Material,1,0,3650,1550,2100,0
12,09-03-2022,Pehnava,Dress Material,1,0,14000,12500,1500,5500
12,18-03-2023,H V,Dress Material,6,96.74,33372,29100,4175.26,5350
13,10-03-2022,Pehnava,Dress Material,1,0,6500,2450,4050,0
14,10-03-2022,Pehnava,Dress Material,1,0,5500,2450,3050,1000
14,17-07-2022,Savita's Design,Dress Material,2,114.44,10000,7000,2885.56,1500
15,10-03-2022,Pehnava,Dress Material,1,0,2800,1695,1105,1450
16,10-03-2022,Pehnava,Dress Material,1,0,2600,1450,1150,1050
16,10-03-2022,Pehnava,Dress Material,1,0,2600,1450,1150,1050
16,10-03-2022,Pehnava,Dress Material,1,0,3200,1995,1205,1300
17,10-03-2022,Vandana,Dress Material,1,0,1500,1595,-95,1690
17,10-03-2022,Pehnava,Dress Material,1,0,1500,1595,-95,1690
17,10-03-2022,Pehnava,Dress Material,1,0,1500,1425,75,1625
17,10-03-2022,Pehnava,Dress Material,1,0,1500,1850,-350,2150
17,10-03-2022,Pehnava,Dress Material,1,0,7000,8500,-1500,7500
17,10-03-2022,Pehnava,Dress Material,2,0,4050,2500,1550,1650
18,10-03-2022,Vandana,Dress Material,1,0,7500,2095,5405,0
18,10-03-2022,Vandana,Dress Material,1,0,5500,2250,3250,0
18,10-03-2022,Pehnava,Dress Material,1,0,8500,3750,4750,0
18,10-03-2022,Pehnava,Dress Material,1,0,7500,3350,4150,0
18,10-03-2022,Pehnava,Dress Material,1,0,5500,2750,2750,0
18,10-03-2022,Pehnava,Dress Material,1,0,15000,10000,5000,3500
18,10-03-2022,Vandana,Dress Material,1,0,16500,15500,1000,6000
18,28-03-2022,Pehnava,Dress Material,2,0,30500,25000,5500,4500
20,10-03-2022,Pehnava,Dress Material,1,0,5500,2150,3350,1000
21,10-03-2022,Pehnava,Dress Material,1,0,2000,1095,905,550
22,10-03-2022,TATA,Dress Material,1,0,3000,1850,1150,650
22,10-03-2022,Pehnava,Dress Material,1,0,15500,9500,6000,3000
23,10-03-2022,H V,Dress Material,1,0,3200,1250,1950,650
23,10-03-2022,TATA,Dress Material,1,0,4300,2450,1850,550
23,09-04-2022,Pehnava,Dress Material,2,0,19000,12000,7000,4000
25,04-06-2023,Lucknow Chicken Factory,Dress Material,4,49.26,19950,12000,7900.74,1500
26,14-03-2022,Pehnava,Dress Material,1,0,2800,1250,1550,450
27,21-06-2022,Vandana,Dress Material,2,114.42,20000,12500,7385.58,4000
28,14-03-2022,Pehnava,Dress Material,1,0,4500,2550,1950,2000
